psnr,ssim,lee,nai,input_psnr,identity_drop,over,under,height,high_path,key,low_path,pred_path,width
16.98419761657715,0.8563305139541626,0.36470067501068115,2.674077033996582,8.057144165039062,8.927053451538086,0.0013608579756692052,0.005536114796996117,384,/home/user/a1_rlef_project/data/LOL-v2/Synthetic/Test/Normal/r00816405t.png,r00816405t,/home/user/a1_rlef_project/data/LOL-v2/Synthetic/Test/Low/r00816405t.png,/home/user/a1_rlef_project/experiments/p4_official_baselines/zero_dce_pp/results/synthetic/r00816405t.png,384
17.74308967590332,0.795404851436615,0.32721981406211853,3.925055503845215,10.488981246948242,7.254108428955078,0.0003074363339692354,6.555627624038607e-05,384,/home/user/a1_rlef_project/data/LOL-v2/Synthetic/Test/Normal/r00869422t.png,r00869422t,/home/user/a1_rlef_project/data/LOL-v2/Synthetic/Test/Low/r00869422t.png,/home/user/a1_rlef_project/experiments/p4_official_baselines/zero_dce_pp/results/synthetic/r00869422t.png,384
13.069976806640625,0.7699611783027649,0.5973215699195862,2.847659111022949,7.05291748046875,6.017059326171875,0.0003978587919846177,0.0006080910097807646,384,/home/user/a1_rlef_project/data/LOL-v2/Synthetic/Test/Normal/r00879054t.png,r00879054t,/home/user/a1_rlef_project/data/LOL-v2/Synthetic/Test/Low/r00879054t.png,/home/user/a1_rlef_project/experiments/p4_official_baselines/zero_dce_pp/results/synthetic/r00879054t.png,384
11.976692199707031,0.8497567772865295,0.4684666395187378,1.5264489650726318,26.53268051147461,-14.555988311767578,0.00013111255248077214,0.00015597873425576836,384,/home/user/a1_rlef_project/data/LOL-v2/Synthetic/Test/Normal/r01058910t.png,r01058910t,/home/user/a1_rlef_project/data/LOL-v2/Synthetic/Test/Low/r01058910t.png,/home/user/a1_rlef_project/experiments/p4_official_baselines/zero_dce_pp/results/synthetic/r01058910t.png,384
15.12279987335205,0.8291434049606323,0.42784595489501953,1.880424976348877,8.236795425415039,6.886004447937012,0.0005267108208499849,0.01036919467151165,384,/home/user/a1_rlef_project/data/LOL-v2/Synthetic/Test/Normal/r01170470t.png,r01170470t,/home/user/a1_rlef_project/data/LOL-v2/Synthetic/Test/Low/r01170470t.png,/home/user/a1_rlef_project/experiments/p4_official_baselines/zero_dce_pp/results/synthetic/r01170470t.png,384
21.803268432617188,0.936249315738678,0.045189958065748215,1.723260760307312,12.613774299621582,9.189494132995605,0.0334947369992733,0.0024956597480922937,384,/home/user/a1_rlef_project/data/LOL-v2/Synthetic/Test/Normal/r01474187t.png,r01474187t,/home/user/a1_rlef_project/data/LOL-v2/Synthetic/Test/Low/r01474187t.png,/home/user/a1_rlef_project/experiments/p4_official_baselines/zero_dce_pp/results/synthetic/r01474187t.png,384
20.543781280517578,0.9181376099586487,0.15083180367946625,2.0536093711853027,8.535048484802246,12.008732795715332,0.000904224521946162,0.010156702250242233,384,/home/user/a1_rlef_project/data/LOL-v2/Synthetic/Test/Normal/r0150031ft.png,r0150031ft,/home/user/a1_rlef_project/data/LOL-v2/Synthetic/Test/Low/r0150031ft.png,/home/user/a1_rlef_project/experiments/p4_official_baselines/zero_dce_pp/results/synthetic/r0150031ft.png,384
22.78368377685547,0.8352819085121155,0.3391348123550415,2.5210001468658447,14.674030303955078,8.10965347290039,0.0069783530198037624,0.13505271077156067,384,/home/user/a1_rlef_project/data/LOL-v2/Synthetic/Test/Normal/r01559391t.png,r01559391t,/home/user/a1_rlef_project/data/LOL-v2/Synthetic/Test/Low/r01559391t.png,/home/user/a1_rlef_project/experiments/p4_official_baselines/zero_dce_pp/results/synthetic/r01559391t.png,384
15.228940963745117,0.6514660120010376,0.8096963763237,2.512549877166748,8.250516891479492,6.978424072265625,0.0013405128847807646,0.1100396066904068,384,/home/user/a1_rlef_project/data/LOL-v2/Synthetic/Test/Normal/r02189767t.png,r02189767t,/home/user/a1_rlef_project/data/LOL-v2/Synthetic/Test/Low/r02189767t.png,/home/user/a1_rlef_project/experiments/p4_official_baselines/zero_dce_pp/results/synthetic/r02189767t.png,384
14.322235107421875,0.6751962304115295,0.7617402672767639,5.239382266998291,9.832611083984375,4.4896240234375,0.0050862631760537624,0.048674408346414566,384,/home/user/a1_rlef_project/data/LOL-v2/Synthetic/Test/Normal/r02354285t.png,r02354285t,/home/user/a1_rlef_project/data/LOL-v2/Synthetic/Test/Low/r02354285t.png,/home/user/a1_rlef_project/experiments/p4_official_baselines/zero_dce_pp/results/synthetic/r02354285t.png,384
